,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine_CC,Power_bhp,Number_of_Seats,Price_Lakhs,Current_Age
4318,4451,Ford Mustang V8,Kochi,2018,21290,1,1,0,13.0,4.951,395.0,4.0,56.8,6
2428,2509,Mercedes-Benz E-Class E 220 d,Mumbai,2018,11000,0,1,0,16.1,1.95,194.0,5.0,56.5,6
4893,5038,Land Rover Discovery Sport TD4 HSE 7S,Coimbatore,2019,24013,0,1,0,12.81,1.999,148.31,7.0,56.14,5
183,191,Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,0,1,0,12.7,2.179,187.7,5.0,55.76,6
2949,3043,Land Rover Discovery Sport TD4 HSE,Coimbatore,2019,25899,0,1,0,12.63,2.179,147.5,5.0,55.7,5
3877,4003,Jaguar XF 2.2 Litre Luxury,Mumbai,2018,3000,0,1,0,16.36,2.179,187.7,5.0,52.5,6
453,473,Mercedes-Benz E-Class E 220 d,Kochi,2018,26405,1,1,0,12.6,1.95,191.34,5.0,51.43,6
1078,1113,Mercedes-Benz E-Class E 220 d,Kochi,2018,20446,1,1,0,12.6,1.95,191.34,5.0,51.35,6
3588,3705,Mercedes-Benz GLC 220d 4MATIC Style,Coimbatore,2019,29311,0,1,0,17.9,2.143,170.0,5.0,50.97,5
838,866,Mercedes-Benz E-Class Facelift,Coimbatore,2018,56652,0,1,0,13.0,2.987,258.0,5.0,50.29,6
582,603,Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,2018,10003,0,1,0,17.9,2.143,170.0,5.0,48.5,6
2146,2209,BMW 5 Series 2013-2017 520d M Sport,Pune,2018,7000,0,1,0,18.12,1.995,190.0,5.0,46.0,6
1340,1386,BMW 5 Series 520d Sport Line,Kochi,2019,18373,0,1,0,22.48,1.995,187.74,5.0,45.86,5
1207,1246,Audi Q5 3.0 TDI Quattro,Coimbatore,2018,32496,0,1,0,13.22,2.967,241.4,5.0,45.62,6
5759,5927,Audi Q5 3.0 TDI Quattro Technology,Coimbatore,2018,29091,0,1,0,13.22,2.967,241.4,5.0,45.52,6
2834,2924,Land Rover Range Rover HSE Dynamic,Kochi,2018,41661,0,1,0,12.7,2.179,187.7,5.0,44.83,6
5325,5477,Land Rover Range Rover HSE Dynamic,Kochi,2018,52827,0,1,0,12.7,2.179,187.7,5.0,44.76,6
3716,3836,Audi A6 35 TFSI Matrix,Delhi,2018,22000,1,1,0,15.26,1.798,187.74,5.0,41.5,6
1203,1242,Jaguar XE 2.0L Diesel Prestige,Delhi,2018,1000,0,1,0,13.6,1.999,177.0,5.0,40.0,6
2925,3017,Mini Cooper S Carbon Edition,Kolkata,2018,2971,1,1,0,13.6,1.598,181.0,4.0,39.75,6
2668,2757,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,20604,0,1,0,19.27,2.143,167.62,5.0,39.62,6
87,92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,0,1,0,17.68,1.968,174.33,5.0,39.58,6
2857,2948,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,10714,0,1,0,19.27,2.143,167.62,5.0,39.51,6
929,962,Mercedes-Benz C-Class Progressive C 220d,Mumbai,2018,8682,0,1,0,0.0,1.95,194.0,5.0,39.5,6
746,772,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,36797,0,1,0,19.27,2.143,167.62,5.0,39.47,6
2060,2121,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,24465,0,1,0,19.27,2.143,167.62,5.0,39.45,6
216,224,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,29161,0,1,0,19.27,2.143,167.62,5.0,39.41,6
2354,2429,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,23152,0,1,0,19.27,2.143,167.62,5.0,39.22,6
3853,3978,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,27467,0,1,0,19.27,2.143,167.62,5.0,39.05,6
524,544,Mercedes-Benz New C-Class Progressive C 200,Kochi,2019,13190,1,1,0,0.0,1.95,181.43,5.0,38.99,5
4290,4423,Mercedes-Benz New C-Class C220 CDI Executive Edition,Kochi,2019,17320,0,1,0,15.8,2.148,170.0,5.0,37.99,5
5587,5745,Mercedes-Benz E-Class 2015-2017 E250 Edition E,Coimbatore,2018,41467,0,1,0,15.0,2.143,204.0,5.0,37.98,6
4656,4795,BMW 3 Series Luxury Line,Kochi,2018,21936,0,1,0,21.76,1.995,190.0,5.0,37.92,6
1636,1689,BMW 5 Series 520d Luxury Line,Kochi,2018,32586,0,1,0,22.48,1.995,190.0,5.0,37.3,6
5516,5673,Mercedes-Benz CLA 200 D Sport Edition,Coimbatore,2019,15976,0,1,0,17.9,2.143,136.0,5.0,36.76,5
4468,4601,BMW X1 sDrive 20d xLine,Coimbatore,2019,15456,0,1,0,20.68,1.995,190.0,5.0,36.64,5
4002,4131,Toyota Fortuner 2.8 2WD MT,Coimbatore,2019,56251,0,0,0,14.24,2.755,174.5,7.0,35.82,5
65,67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,0,1,0,0.0,1.95,194.0,5.0,35.67,5
3095,3196,Ford Endeavour 3.2 Titanium AT 4X4,Chennai,2019,9000,0,1,0,10.91,3.198,197.0,7.0,35.5,5
5712,5875,Mercedes-Benz C-Class Progressive C 220d,Ahmedabad,2019,4000,0,1,0,0.0,1.95,194.0,5.0,35.0,5
5129,5278,Ford Endeavour 3.2 Titanium AT 4X4,Delhi,2018,12000,0,1,0,10.91,3.198,197.0,7.0,33.5,6
2766,2855,Toyota Fortuner 2.8 2WD AT,Kochi,2019,21719,0,1,0,12.9,2.755,174.5,7.0,33.13,5
4764,4906,Ford Endeavour 3.2 Titanium AT 4X4,Hyderabad,2018,15000,0,1,0,10.91,3.198,197.0,7.0,33.0,6
4458,4591,Audi A4 35 TDI Technology Edition,Kochi,2019,38163,0,1,0,17.11,1.968,174.33,5.0,32.91,5
5043,5191,Ford Endeavour 2.2 Titanium AT 4X2,Chennai,2019,9000,0,1,0,12.62,2.198,158.0,7.0,32.9,5
4103,4233,Audi Q3 30 TDI Premium FWD,Coimbatore,2018,22060,0,1,0,18.51,1.968,147.51,5.0,32.73,6
1382,1430,Ford Endeavour 3.2 Trend AT 4X4,Kochi,2018,30552,0,1,0,10.91,3.198,197.2,7.0,32.44,6
1468,1516,Toyota Fortuner 4x4 MT,Hyderabad,2018,39927,0,0,0,12.55,2.982,168.5,7.0,32.1,6
1206,1245,Toyota Camry 2.5 Hybrid,Pune,2018,17585,1,1,0,19.16,2.494,157.7,5.0,32.0,6
870,899,Toyota Camry Hybrid,Pune,2018,17000,1,1,0,19.16,2.494,158.2,5.0,32.0,6
2083,2145,Ford Endeavour 2.2 Titanium AT 4X2,Hyderabad,2018,14000,0,1,0,12.62,2.198,158.0,7.0,31.99,6
1911,1968,Toyota Fortuner 4x4 AT,Kochi,2018,37713,0,1,1,12.55,2.982,168.5,7.0,31.62,6
3062,3161,Mini Cooper 5 DOOR D,Kochi,2019,14857,0,1,0,20.7,1.496,113.98,5.0,31.55,5
942,975,Ford Endeavour 2.2 Trend AT 4X2,Kochi,2019,11209,0,1,0,12.62,2.198,158.0,7.0,31.15,5
5427,5582,Toyota Fortuner 2.8 2WD AT,Coimbatore,2019,28069,0,1,0,12.9,2.755,174.5,7.0,30.85,5
3457,3567,Mercedes-Benz CLA 200 CDI Sport,Kochi,2019,13414,0,1,0,17.9,2.143,136.0,5.0,30.77,5
5011,5158,Mercedes-Benz CLA 200 CDI Sport,Kochi,2019,20483,0,1,0,17.9,2.143,136.0,5.0,30.3,5
2581,2669,Ford Endeavour 3.2 Trend AT 4X4,Coimbatore,2018,51530,0,1,0,10.91,3.198,197.2,7.0,30.27,6
5569,5727,BMW X1 xDrive 20d xLine,Kochi,2018,30733,0,1,0,20.68,1.995,190.0,5.0,29.3,6
2272,2341,Mercedes-Benz GLA Class 200 d Sport,Mumbai,2018,10000,0,1,0,17.9,2.143,136.0,5.0,28.9,6
2733,2822,BMW 3 Series 320d Sport Line,Pune,2018,24000,0,1,0,18.88,1.995,184.0,5.0,28.0,6
386,401,Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,Hyderabad,2018,12000,0,1,0,13.5,2.477,175.56,7.0,28.0,6
3064,3163,Ford Endeavour Titanium 4X2,Coimbatore,2019,14648,0,0,0,12.62,2.198,158.0,7.0,27.36,5
343,357,Skoda Superb L&K 1.8 TSI AT,Kochi,2019,13747,1,1,0,14.67,1.798,177.46,5.0,27.3,5
3979,4108,Mitsubishi Pajero Sport 4X4 AT,Coimbatore,2019,11827,0,1,0,13.5,2.477,175.56,6.0,27.11,5
5800,5970,Mercedes-Benz GLA Class 200 Sport,Kochi,2018,17773,1,1,0,13.7,1.991,183.0,5.0,26.76,6
3991,4120,Mitsubishi Pajero Sport 4X4 AT,Bangalore,2018,8900,0,1,0,13.5,2.477,175.56,6.0,26.5,6
3220,3324,Mercedes-Benz CLA 200 CDI Sport,Kochi,2019,29836,0,1,0,17.9,2.143,136.0,5.0,25.75,5
578,599,Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2019,40674,0,1,0,11.36,2.755,171.5,7.0,24.82,5
2826,2916,Jeep Compass 2.0 Limited 4X4,Coimbatore,2019,6261,0,0,0,16.3,1.956,170.0,5.0,23.91,5
1484,1532,Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2019,11241,0,0,0,13.68,2.393,147.8,8.0,22.55,5
3445,3555,Toyota Innova Crysta 2.4 VX MT,Coimbatore,2019,33598,0,0,0,13.68,2.393,147.8,7.0,22.2,5
245,255,Hyundai Tucson 2.0 e-VGT 2WD AT GLS,Kochi,2018,51346,0,1,0,16.38,1.995,183.0,5.0,21.99,6
2480,2563,Jeep Compass 2.0 Limited 4X4,Coimbatore,2018,48188,0,0,0,16.3,1.956,170.0,5.0,21.69,6
4220,4350,Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2019,31271,0,0,0,13.68,2.393,147.8,8.0,21.42,5
580,601,Toyota Corolla Altis VL AT,Bangalore,2018,1331,1,1,0,14.28,1.798,138.03,5.0,20.0,6
1379,1427,Toyota Innova Crysta 2.4 VX MT,Kochi,2018,8899,0,0,0,13.68,2.393,147.8,7.0,19.92,6
847,875,Toyota Innova Crysta 2.8 ZX AT,Kochi,2018,41736,0,1,0,11.36,2.755,171.5,7.0,19.92,6
1822,1877,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,10601,0,1,0,11.36,2.755,171.5,7.0,19.65,5
226,235,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,14165,0,1,0,11.36,2.755,171.5,7.0,19.64,5
3474,3584,Jeep Compass 2.0 Longitude,Kochi,2018,42203,0,0,0,17.1,1.956,170.0,5.0,19.46,6
4319,4452,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,14076,0,1,0,11.36,2.755,171.5,7.0,19.4,5
2001,2061,Jeep Compass 2.0 Longitude,Coimbatore,2018,33218,0,0,0,17.1,1.956,170.0,5.0,19.05,6
548,568,Jeep Compass 2.0 Limited,Jaipur,2018,29000,0,0,0,17.1,1.956,170.0,5.0,19.0,6
2915,3006,Jeep Compass 2.0 Limited,Pune,2018,16039,0,0,0,17.1,1.956,170.0,5.0,18.5,6
919,952,Toyota Innova Crysta 2.4 ZX MT,Coimbatore,2018,92056,0,0,0,13.68,2.393,147.8,7.0,18.39,6
3089,3190,Toyota Innova Crysta 2.8 GX AT,Pune,2018,20300,0,1,0,11.36,2.755,171.5,7.0,18.0,6
2409,2488,Tata Hexa XTA,Coimbatore,2019,14233,0,1,0,17.6,2.179,153.86,7.0,17.85,5
770,796,Mahindra XUV500 W9 AT,Coimbatore,2019,19654,0,1,0,14.0,2.179,155.0,7.0,17.63,5
3818,3943,Jeep Compass 2.0 Longitude,Kochi,2018,26101,0,0,0,17.1,1.956,170.0,5.0,17.55,6
1449,1497,Toyota Corolla Altis 1.8 VL CVT,Kochi,2018,28321,1,1,0,14.28,1.798,138.03,5.0,17.49,6
1934,1991,Jeep Compass 2.0 Longitude,Kochi,2018,28937,0,0,0,17.1,1.956,170.0,5.0,17.02,6
2980,3075,Toyota Corolla Altis 1.8 VL CVT,Kolkata,2018,5000,1,1,0,14.28,1.798,138.03,5.0,16.95,6
3045,3144,Volkswagen Jetta 2012-2014 1.4 TSI,Coimbatore,2018,37109,1,0,0,14.69,1.39,120.33,5.0,16.8,6
3303,3407,Mahindra XUV500 AT W10 AWD,Coimbatore,2018,82739,0,1,0,16.0,2.179,140.0,7.0,16.77,6
5214,5363,Mahindra XUV500 W8 2WD,Coimbatore,2018,46811,0,0,0,16.0,2.179,140.0,7.0,16.59,6
2315,2389,Mahindra XUV500 AT W10 FWD,Coimbatore,2018,24500,0,1,0,16.0,2.179,140.0,7.0,16.52,6
3757,3878,Mahindra XUV500 AT W10 FWD,Kochi,2018,25948,0,1,0,16.0,2.179,140.0,7.0,16.46,6
5278,5428,Mahindra XUV500 W10 2WD,Kochi,2018,29907,0,0,0,16.0,2.179,140.0,7.0,16.36,6
4840,4984,Hyundai Creta 1.6 SX Option Diesel,Coimbatore,2019,24864,0,0,0,20.5,1.582,126.2,5.0,16.27,5
3511,3624,ISUZU D-MAX V-Cross 4X4,Coimbatore,2018,20422,0,0,0,12.4,2.499,134.0,5.0,16.09,6
4678,4817,Hyundai Elantra CRDi SX,Coimbatore,2019,41871,0,0,0,22.7,1.582,126.2,5.0,15.57,5
5434,5589,Hyundai Elantra CRDi SX,Ahmedabad,2018,35000,0,0,0,22.7,1.582,126.2,5.0,15.0,6
2891,2982,Hyundai Creta 1.6 SX Plus Petrol Automatic,Coimbatore,2018,32807,1,1,0,13.0,1.591,121.3,5.0,14.76,6
3083,3183,Hyundai Creta 1.6 SX Plus Petrol Automatic,Coimbatore,2018,23875,1,1,0,13.0,1.591,121.3,5.0,14.36,6
3516,3630,Hyundai Creta 1.6 SX Plus Petrol Automatic,Coimbatore,2018,32434,1,1,0,13.0,1.591,121.3,5.0,14.35,6
3668,3787,Hyundai Verna 1.6 CRDI SX Option,Kochi,2019,30529,0,0,0,23.9,1.582,126.2,5.0,14.28,5
2165,2229,Honda City i-VTEC CVT ZX,Coimbatore,2018,20300,1,1,0,18.0,1.497,117.3,5.0,14.21,6
5312,5464,Mahindra Scorpio S10 7 Seater,Kochi,2018,27395,0,0,0,15.4,2.179,120.0,7.0,14.19,6
998,1032,Renault Captur 1.5 Diesel Platine Mono,Kochi,2019,3102,0,0,0,20.37,1.461,108.45,5.0,14.01,5
492,512,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Kochi,2019,8587,1,0,0,15.29,1.591,121.3,5.0,13.56,5
3131,3232,Hyundai Creta 1.6 CRDi SX,Coimbatore,2019,54321,0,0,0,19.67,1.582,126.2,5.0,13.54,5
3650,3769,Renault Captur 1.5 Diesel Platine Mono,Mumbai,2018,1011,0,0,0,20.37,1.461,108.45,5.0,13.5,6
417,434,Renault Captur 1.5 Diesel RXL,Coimbatore,2019,24950,0,0,0,20.37,1.461,108.45,5.0,13.37,5
5418,5573,Hyundai Creta 1.6 SX Plus Diesel,Kochi,2018,35480,0,0,0,19.67,1.582,126.2,5.0,13.34,6
4783,4926,Hyundai Creta 1.6 SX Option Executive,Coimbatore,2018,44383,1,0,0,15.8,1.591,121.3,5.0,13.25,6
5728,5894,Hyundai Creta 1.6 SX,Hyderabad,2018,9900,1,0,0,15.8,1.591,121.3,5.0,13.2,6
3097,3198,Mahindra XUV500 W7,Delhi,2018,9000,0,0,0,14.0,2.179,155.0,7.0,13.0,6
5794,5964,Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,2018,8000,1,1,0,17.0,1.591,121.3,5.0,12.85,6
1579,1630,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Mumbai,2018,2500,1,0,0,15.29,1.591,121.3,5.0,12.75,6
5404,5559,Hyundai Creta 1.6 SX Plus Petrol Automatic,Kochi,2018,32854,1,1,0,13.0,1.591,121.3,5.0,12.6,6
3407,3514,Honda City i-VTEC CVT VX,Pune,2018,4500,1,1,0,18.0,1.497,117.3,5.0,12.5,6
1016,1050,Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,18385,1,1,0,14.8,1.497,121.36,5.0,12.41,6
1418,1466,Mahindra Scorpio S6 7 Seater,Kochi,2018,37804,0,0,0,15.4,2.179,120.0,7.0,12.4,6
5088,5237,Hyundai Creta 1.6 SX Option,Kochi,2018,53322,1,0,0,15.8,1.591,121.3,5.0,12.13,6
4866,5011,Honda City i VTEC CVT VX,Kochi,2018,34696,1,1,0,18.0,1.497,117.3,5.0,12.08,6
1230,1270,Honda City i-VTEC CVT VX,Kochi,2018,22974,1,1,0,18.0,1.497,117.3,5.0,11.97,6
2453,2536,Skoda Rapid 1.5 TDI Ambition,Coimbatore,2018,5833,0,0,0,21.13,1.498,108.4,5.0,11.92,6
4591,4728,Hyundai Verna VTVT 1.6 SX Option,Kochi,2019,12336,1,0,0,17.0,1.591,121.3,5.0,11.88,5
1486,1534,Honda City i VTEC VX Option,Coimbatore,2019,23882,1,0,0,17.4,1.497,117.3,5.0,11.87,5
5123,5272,Hyundai Creta 1.6 SX,Coimbatore,2018,17665,1,0,0,15.8,1.591,121.3,5.0,11.78,6
1091,1126,Honda City i DTec VX,Coimbatore,2018,45555,0,0,0,26.0,1.498,98.6,5.0,11.73,6
5557,5715,Honda City i-VTEC CVT V,Kochi,2019,22321,1,1,0,18.0,1.497,117.3,5.0,11.66,5
976,1010,Ford Ecosport Signature Edition Diesel,Coimbatore,2019,23154,0,0,0,23.0,1.498,98.96,5.0,11.65,5
5455,5610,Hyundai Verna 1.6 SX VTVT,Coimbatore,2019,6028,1,0,0,17.01,1.591,121.3,5.0,11.54,5
4437,4570,Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,2018,3300,0,1,0,24.3,1.248,88.5,5.0,11.5,6
128,135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,1,1,0,17.0,1.591,121.3,5.0,11.5,5
1351,1398,Honda City V MT Exclusive,Kochi,2019,5377,1,0,0,16.8,1.497,116.3,5.0,11.45,5
3908,4034,Hyundai Creta 1.6 SX Automatic Diesel,Kolkata,2018,14000,0,1,0,17.6,1.582,126.2,5.0,11.25,6
1938,1995,Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,2018,3000,0,1,0,24.3,1.248,88.5,5.0,11.25,6
1804,1859,Honda City i VTEC VX Option,Ahmedabad,2018,14000,1,0,0,17.4,1.497,117.3,5.0,11.25,6
4518,4653,Ford EcoSport 1.5 TDCi Trend Plus BE,Coimbatore,2019,35188,0,0,0,22.77,1.498,98.59,5.0,11.13,5
3718,3838,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2018,28741,0,0,0,24.3,1.248,88.5,5.0,11.0,6
116,122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,0,0,0,22.0,1.582,126.2,5.0,10.95,6
5182,5331,Ford Ecosport Signature Edition Diesel,Ahmedabad,2018,13000,0,0,0,23.0,1.498,98.96,5.0,10.9,6
3835,3960,Hyundai Creta 1.4 E Plus Diesel,Kochi,2018,41641,0,0,0,21.38,1.396,88.7,5.0,10.82,6
67,69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,0,0,0,22.1,1.396,88.7,5.0,10.5,6
1042,1077,Maruti Vitara Brezza ZDi Plus,Kochi,2019,34688,0,0,0,24.3,1.248,88.5,5.0,10.49,5
1110,1147,Maruti Vitara Brezza ZDi,Coimbatore,2018,64456,0,0,0,24.3,1.248,88.5,5.0,10.46,6
2801,2890,Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,27852,1,1,0,14.8,1.497,121.36,5.0,10.44,6
5699,5860,Mahindra Thar CRDe AC,Coimbatore,2019,16392,0,0,0,16.55,2.498,105.0,6.0,10.36,5
3427,3536,Honda City V MT,Kochi,2018,11966,1,0,0,16.8,1.497,116.3,5.0,10.28,6
4746,4887,Maruti Vitara Brezza ZDi Plus,Kochi,2018,57078,0,0,0,24.3,1.248,88.5,5.0,10.19,6
3321,3425,Maruti Vitara Brezza ZDi Plus,Coimbatore,2018,52380,0,0,0,24.3,1.248,88.5,5.0,10.15,6
5454,5609,Honda City i VTEC V,Mumbai,2018,5000,1,0,0,17.8,1.497,117.3,5.0,10.11,6
5590,5749,Honda City i-VTEC V,Kochi,2018,11732,1,0,0,17.4,1.497,117.3,5.0,10.07,6
1850,1905,Maruti Ciaz 1.4 Zeta,Kochi,2018,15982,1,0,0,20.73,1.373,91.1,5.0,9.96,6
8,10,Maruti Ciaz Zeta,Kochi,2018,25692,1,0,0,21.56,1.462,103.25,5.0,9.95,6
26,28,Honda WRV i-VTEC VX,Kochi,2018,37430,1,0,0,17.5,1.199,88.7,5.0,9.9,6
2804,2894,Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,Mumbai,2018,14000,0,0,0,21.5,1.497,108.5,5.0,9.9,6
139,147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,1,0,0,20.73,1.373,91.1,5.0,9.9,6
414,431,Maruti Baleno Alpha Automatic,Coimbatore,2018,12831,1,1,0,21.4,1.197,83.1,5.0,9.89,6
5549,5706,Chevrolet Cruze LTZ,Coimbatore,2018,52073,0,0,1,18.3,1.991,147.9,5.0,9.87,6
2297,2367,Maruti Grand Vitara 2.4 MT,Kochi,2018,28786,1,0,0,10.4,2.393,163.5,5.0,9.74,6
4800,4943,Skoda Rapid 1.6 MPI AT Style,Kochi,2018,21488,1,1,0,14.3,1.598,103.52,5.0,9.72,6
5644,5805,Skoda Rapid 1.6 MPI Ambition,Coimbatore,2019,21214,1,0,0,15.41,1.598,103.52,5.0,9.66,5
4737,4877,Tata Nexon 1.2 Revotron XZ Plus,Coimbatore,2018,17477,1,0,0,17.0,1.198,108.5,5.0,9.62,6
2639,2728,Maruti Baleno Alpha CVT,Kochi,2019,13574,1,1,0,21.4,1.197,83.1,5.0,9.51,5
5272,5421,Ford EcoSport 1.5 Ti VCT MT Signature,Chennai,2018,13900,1,0,0,18.88,1.499,110.4,5.0,9.5,6
4622,4760,Maruti Ciaz 1.3 Alpha,Kochi,2018,39023,0,0,0,28.09,1.248,88.5,5.0,9.48,6
5654,5815,Ford EcoSport 1.5 TDCi Titanium,Kochi,2018,37160,0,0,0,22.77,1.498,98.59,5.0,9.46,6
4655,4794,Maruti Vitara Brezza VDi Option,Hyderabad,2018,11000,0,0,0,24.3,1.248,88.5,5.0,9.4,6
2394,2473,Maruti Ciaz ZDi Plus,Coimbatore,2018,68737,0,0,0,26.21,1.248,88.5,5.0,9.32,6
5193,5342,Honda Amaze VX i-VTEC,Coimbatore,2019,16573,1,0,0,17.8,1.198,86.7,5.0,9.31,5
1720,1773,Honda WRV i-VTEC VX,Kochi,2018,15135,1,0,0,17.5,1.199,88.7,5.0,9.29,6
1559,1610,Maruti Ciaz 1.4 Zeta,Mumbai,2018,32644,1,0,0,20.73,1.373,91.1,5.0,9.28,6
5514,5671,Honda Jazz 1.2 V CVT i VTEC,Coimbatore,2018,20026,1,1,0,19.0,1.199,88.7,5.0,9.27,6
3279,3383,Ford EcoSport 1.5 Diesel Titanium,Coimbatore,2018,32189,0,0,0,23.0,1.498,98.96,5.0,9.25,6
2899,2990,Maruti Ertiga VDI,Mumbai,2018,14000,0,0,0,25.47,1.248,88.5,7.0,9.25,6
3476,3587,Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,Kolkata,2018,4900,0,0,0,21.5,1.497,108.5,5.0,9.22,6
1389,1437,Ford EcoSport 1.5 Petrol Titanium,Pune,2018,17000,1,0,0,17.0,1.497,121.36,5.0,9.2,6
2594,2682,Hyundai i20 1.4 Sportz,Coimbatore,2018,18521,0,0,0,22.54,1.396,88.73,5.0,9.18,6
2225,2292,Maruti Ciaz Alpha,Kochi,2018,38394,1,0,0,21.56,1.462,103.25,5.0,9.18,6
3655,3774,Maruti Ciaz Zeta,Kochi,2018,10575,1,0,0,21.56,1.462,103.25,5.0,9.18,6
3299,3403,Honda Jazz 1.2 V CVT i VTEC,Coimbatore,2018,12794,1,1,0,19.0,1.199,88.7,5.0,9.15,6
3663,3782,Mahindra Thar DI 4X4,Kochi,2019,13024,0,0,0,18.06,2.523,63.0,7.0,9.11,5
702,726,Ford EcoSport 1.5 Ti VCT AT Titanium,Kochi,2018,37630,1,1,0,15.63,1.499,110.4,5.0,9.1,6
3858,3983,Hyundai Verna 1.6 VTVT AT SX,Kochi,2018,33858,1,1,0,17.01,1.591,121.3,5.0,9.03,6
1437,1485,Toyota Fortuner 3.0 Diesel,Kolkata,2019,80000,0,0,0,11.5,2.982,171.0,7.0,8.99,5
437,456,Maruti S-Cross Delta DDiS 200 SH,Delhi,2018,12923,0,0,0,25.1,1.248,88.5,5.0,8.92,6
3288,3392,Hyundai i20 1.2 Asta Option,Hyderabad,2018,11691,1,0,0,18.6,1.197,81.83,5.0,8.9,6
4834,4978,Honda Amaze V CVT Petrol,Kochi,2019,25717,1,1,0,19.0,1.199,88.76,5.0,8.86,5
